0,1,0
50,1,0
1000,1.0267,-21.796
1018.7,1.0261,-22.221
1037.8,1.0258,-22.631
1057.2,1.0257,-23.057
1077,1.0254,-23.489
1097.1,1.025,-23.916
1117.6,1.0247,-24.367
1138.6,1.0245,-24.811
1159.9,1.024,-25.266
1181.6,1.0239,-25.742
1203.7,1.0236,-26.217
1226.2,1.0233,-26.688
1249.1,1.0229,-27.18
1272.5,1.0227,-27.685
1296.3,1.0224,-28.187
1320.6,1.022,-28.708
1345.3,1.0217,-29.247
1370.4,1.0213,-29.784
1396.1,1.0211,-30.323
1422.2,1.0208,-30.886
1448.8,1.0202,-31.455
1475.9,1.0198,-32.021
1503.5,1.0195,-32.614
1531.7,1.0192,-33.227
1560.3,1.0187,-33.828
1589.5,1.0182,-34.441
1619.3,1.0181,-35.088
1649.5,1.0176,-35.729
1680.4,1.017,-36.393
1711.9,1.0168,-37.054
1743.9,1.0162,-37.734
1776.5,1.0156,-38.426
1809.7,1.0153,-39.133
1843.6,1.0147,-39.855
1878.1,1.0145,-40.585
1913.2,1.0139,-41.328
1949,1.0132,-42.097
1985.5,1.0127,-42.849
2022.7,1.0123,-43.645
2060.5,1.0116,-44.447
2099,1.0112,-45.267
2138.3,1.0104,-46.094
2178.3,1.0101,-46.937
2219.1,1.0096,-47.798
2260.6,1.009,-48.681
2302.9,1.0084,-49.571
2346,1.0076,-50.485
2389.9,1.0069,-51.398
2434.6,1.0063,-52.359
2480.1,1.0058,-53.309
2526.5,1.0051,-54.291
2573.8,1.0044,-55.284
2622,1.0037,-56.312
2671,1.0033,-57.334
2721,1.0025,-58.378
2771.9,1.0018,-59.463
2823.8,1.001,-60.552
2876.6,1.0003,-61.666
2930.4,0.99922,-62.793
2985.3,0.9987,-63.936
3041.1,0.99788,-65.132
3098,0.99706,-66.318
3156,0.99619,-67.533
3215,0.99545,-68.775
3275.2,0.99481,-70.045
3336.5,0.99386,-71.326
3398.9,0.99304,-72.643
3462.5,0.99225,-73.971
3527.3,0.99171,-75.339
3593.3,0.99073,-76.714
3660.5,0.9901,-78.13
